Ecoli_kcat_high,Ecoli_kcat_low,Ecoli_kapp_high,Ecoli_kapp_low,Yeast_kcat_high,Yeast_kcat_low,Yeast_kapp_high,Yeast_kapp_low
,,,,852565,,852606,
,,,,855346,,852617,
,,,,856819,,852842,
,,,,852464,,854852,
,,,,853273,,856390,
,,,,853653,,851152,
,,,,853941,,854852,
,,,,853602,,852235,
,,,,855779,,850307,
,,,,852464,,855135,
,,,,856420,,855887,
,,,,852723,,850327,
,,,,850733,,856173,
,,,,853118,,853106,
,,,,856748,,850714,
,,,,851956,,854865,
,,,,851607,,851726,
,,,,850327,,850733,
,,,,856782,,856321,
,,,,855732,,851705,
,,,,855346,,851726,
,,,,851272,,851617,
,,,,855245,,853839,
,,,,852495,,853941,
,,,,852522,,853482,
,,,,853123,,854295,
,,,,856321,,855986,
,,,,854690,,851516,
,,,,853059,,852317,
,,,,852902,,856296,
,,,,853532,,851956,
,,,,853465,,854852,
,,,,856413,,855245,
,,,,851617,,856473,
,,,,852688,,853613,
,,,,853653,,853181,
,,,,851492,,853322,
,,,,851620,,851516,
,,,,852952,,853654,
,,,,852017,,851614,
,,,,853994,,850307,
,,,,856173,,856027,
,,,,850307,,850527,
,,,,856568,,854411,
,,,,851171,,,
,,,,855619,,,
,,,,850733,,,
,,,,855619,,,
,,,,853654,,,
,,,,850581,,,
,,,,851818,,,
,,,,850714,,,
